Профиль,Подтип,"h, мм","b, мм","s, мм","t, мм","x0, см","R, мм","А, см2","M, кг","Ix, см4","Wx, см3","ix, см","Sx, см3","Iy, см4","Wy, см3","iy, см"
24П,"с параллельными гранями полок",240.0,90.0,5.6,10.0,"27,2",10.5,30.6,24.0,2910.0,243.0,97.5,139.0,248.0,39.5,28.5
27П,"с параллельными гранями полок",270.0,95.0,6.0,10.5,"27,8",11.0,35.2,27.7,4180.0,310.0,109.0,178.0,314.0,46.7,29.9
30П,"с параллельными гранями полок",300.0,100.0,6.5,11.0,"28,3",12.0,40.5,31.8,5830.0,389.0,120.0,224.0,393.0,54.8,31.2
33П,"с параллельными гранями полок",330.0,105.0,7.0,11.7,"29,0",13.0,46.5,36.5,8010.8,486.0,131.0,281.0,491.0,64.6,32.5
36П,"с параллельными гранями полок",360.0,110.0,7.5,12.6,"29,9",14.0,53.4,41.9,10850.0,603.0,143.0,350.0,611.0,76.3,33.8
40П,"с параллельными гранями полок",400.0,115.0,8.0,13.5,"30,5",15.0,61.5,48.3,15260.0,763.0,158.0,445.0,760.0,89.9,35.1
5У,"с уклоном полок",50.0,32.0,4.4,7.0,"11,6",6.0,6.16,4.84,22.8,9.1,19.2,5.59,5.61,2.75,9.5
6.5У,"с уклоном полок",65.0,36.0,4.4,7.2,"12,4",6.0,7.51,5.9,48.6,15.0,25.4,9.0,8.7,3.68,10.8
8У,"с уклоном полок",80.0,40.0,4.5,7.4,"13,1",6.5,8.98,7.05,89.4,22.4,31.6,13.3,12.8,4.75,11.9
10У,"с уклоном полок",100.0,46.0,4.5,7.6,"14,4",7.0,10.9,8.59,174.0,34.8,39.9,20.4,20.4,6.46,13.7
12У,"с уклоном полок",120.0,52.0,4.8,7.8,"15,4",7.5,13.3,10.4,304.0,50.6,47.8,29.6,31.2,8.52,15.3
14У,"с уклоном полок",140.0,58.0,4.9,8.1,"16,7",8.0,15.6,12.3,491.0,70.2,56.0,40.8,45.4,11.0,17.0
16У,"с уклоном полок",160.0,64.0,5.0,8.4,"18,0",8.5,18.1,14.2,747.0,93.4,64.2,54.1,63.3,13.8,18.7
16аУ,"с уклоном полок",160.0,68.0,5.0,9.0,"20,0",8.5,19.5,15.3,823.0,103.0,64.9,59.4,78.8,16.4,20.1
18У,"с уклоном полок",180.0,70.0,5.1,8.7,"19,4",9.0,20.7,16.3,1090.0,121.0,72.4,69.8,86.0,17.0,20.4
18аУ,"с уклоном полок",180.0,74.0,5.1,9.3,"21,3",9.0,22.2,17.4,1190.0,132.0,73.2,76.1,105.0,20.0,21.8
20У,"с уклоном полок",200.0,76.0,5.2,9.0,"20,7",9.5,23.4,18.4,1520.0,152.0,80.7,87.8,113.0,20.5,22.0
22У,"с уклоном полок",220.0,82.0,5.4,9.5,"22,1",10.0,26.7,21.0,2110.0,192.0,88.9,110.0,151.0,25.1,23.7
24У,"с уклоном полок",240.0,90.0,5.6,10.0,"24,2",10.5,30.6,24.0,2900.0,242.0,97.3,139.0,208.0,31.6,26.0
27У,"с уклоном полок",270.0,95.0,6.0,10.5,"24,7",11.0,35.2,27.7,4160.0,308.0,109.0,178.0,262.0,37.3,27.3
30У,"с уклоном полок",300.0,100.0,6.5,11.0,"25,2",12.0,40.5,31.8,5810.0,387.0,120.0,224.0,327.0,43.6,28.4
33У,"с уклоном полок",330.0,105.0,7.0,11.7,"25,9",13.0,46.5,36.5,7980.0,484.0,131.0,281.0,410.0,51.8,29.7
36У,"с уклоном полок",360.0,110.0,7.5,12.6,"26,8",14.0,53.4,41.9,10820.0,601.0,142.0,350.0,513.0,61.7,31.0
40У,"с уклоном полок",400.0,115.0,8.0,13.5,"27,5",15.0,61.5,48.3,15220.0,761.0,157.0,444.0,642.0,73.4,32.3
5Э,"экономичный с параллельными гранями полок",50.0,32.0,4.2,7.0,"12,3",6.5,6.1,4.79,22.9,9.17,19.4,5.62,6.02,3.05,9.93
6.5Э,"экономичный с параллельными гранями полок",65.0,36.0,4.2,7.2,"13,2",6.5,7.41,5.82,48.9,15.05,25.7,9.02,9.42,4.13,11.27
8Э,"экономичный с параллельными гранями полок",80.0,40.0,4.2,7.4,"14,1",7.5,8.82,6.92,90.0,22.5,31.9,13.31,13.93,5.38,12.57
10Э,"экономичный с параллельными гранями полок",100.0,46.0,4.2,7.6,"15,6",9.0,10.79,8.47,175.9,35.17,40.4,20.55,22.68,7.47,14.5
12Э,"экономичный с параллельными гранями полок",120.0,52.0,4.5,7.8,"17,0",9.5,13.09,10.24,307.0,51.17,48.4,29.75,35.12,10.03,16.38
14Э,"экономичный с параллельными гранями полок",140.0,58.0,4.6,8.1,"18,6",10.0,15.41,12.15,495.7,70.81,56.7,40.96,51.76,13.13,18.33
16Э,"экономичный с параллельными гранями полок",160.0,64.0,4.7,8.4,"20,2",11.0,17.85,14.01,755.5,94.43,65.0,54.41,73.17,16.7,20.24
18Э,"экономичный с параллельными гранями полок",180.0,70.0,4.8,8.7,"21,8",11.5,20.4,16.01,1097.9,121.99,73.4,70.05,100.51,20.87,22.19
20Э,"экономичный с параллельными гранями полок",200.0,76.0,4.9,9.0,"23,5",12.0,23.02,18.07,1537.1,153.71,81.7,88.03,134.07,25.54,24.13
22Э,"экономичный с параллельными гранями полок",220.0,82.0,5.1,9.5,"25,2",13.0,26.36,20.69,2134.2,194.02,90.0,111.0,179.05,31.54,26.06
24Э,"экономичный с параллельными гранями полок",240.0,90.0,5.3,10.0,"27,8",13.0,30.19,23.69,2927.0,243.92,98.5,139.08,249.03,40.07,28.72
27Э,"экономичный с параллельными гранями полок",270.0,95.0,5.8,10.5,"28,3",13.0,34.87,27.37,4200.2,311.12,109.7,178.25,316.24,47.43,30.11
30Э,"экономичный с параллельными гранями полок",300.0,100.0,6.3,11.0,"28,8",13.0,39.94,31.35,5837.1,389.14,120.9,224.0,395.57,55.58,31.47
33Э,"экономичный с параллельными гранями полок",330.0,105.0,6.9,11.7,"29,4",13.0,46.15,36.14,8021.8,488.17,131.8,281.23,497.02,65.78,32.82
36Э,"экономичный с параллельными гранями полок",360.0,110.0,7.4,12.6,"30,4",14.0,52.9,41.53,10864.5,603.58,143.3,350.05,618.92,77.76,34.2
40Э,"экономичный с параллельными гранями полок",400.0,115.0,7.9,13.5,"31,0",15.5,61.11,47.97,15307.9,765.4,158.3,445.41,770.89,91.8,35.52
12Л,"легкой серии с параллельными гранями полок",120.0,30.0,3.0,4.8,"7,6",7.0,6.39,5.02,135.26,22.54,46.0,13.43,5.02,2.24,8.9
14Л,"легкой серии с параллельными гранями полок",140.0,32.0,3.2,5.6,"7,8",7.0,7.57,5.94,212.94,30.42,53.1,18.23,6.55,2.7,9.3
16Л,"легкой серии с параллельными гранями полок",160.0,35.0,3.4,5.3,"8,3",8.0,9.04,7.1,331.96,41.49,60.6,24.84,9.23,3.46,10.1
18Л,"легкой серии с параллельными гранями полок",180.0,40.0,3.6,5.6,"9,4",8.0,10.81,8.49,503.87,55.98,68.3,33.49,14.64,4.1,11.6
20Л,"легкой серии с параллельными гранями полок",200.0,45.0,3.8,6.0,"10,6",9.0,12.89,10.12,748.17,74.82,76.2,44.59,22.37,6.51,13.2
22Л,"легкой серии с параллельными гранями полок",220.0,50.0,4.0,6.4,"11,9",10.0,15.11,11.86,1070.97,97.36,84.2,57.82,32.85,8.61,14.7
24Л,"легкой серии с параллельными гранями полок",240.0,55.0,4.2,6.8,"13,1",10.0,17.41,13.66,1476.39,123.03,92.1,72.9,46.25,11.04,16.3
27Л,"легкой серии с параллельными гранями полок",270.0,60.0,4.5,7.3,"14,0",11.0,20.77,16.3,2218.16,164.31,103.3,97.48,65.1,14.17,17.7
30Л,"легкой серии с параллельными гранями полок",300.0,65.0,4.8,7.8,"15,1",11.0,24.3,19.07,3186.74,212.45,114.5,126.24,89.08,17.84,19.1
8С,специальный,80.0,45.0,5.5,9.0,"15,7",9.0,11.8,9.26,115.82,28.95,31.3,',22.24,7.63,13.8
14С,специальный,140.0,58.0,6.0,9.5,"17,1",9.5,18.51,14.53,563.7,80.5,55.2,',53.2,13.01,17.0
14Са,специальный,140.0,60.0,8.0,9.5,"16,7",9.5,21.3,16.72,609.1,87.01,53.5,',61.02,14.09,16.9
16С,специальный,160.0,63.0,6.5,10.0,"18,0",10.0,21.95,17.53,866.2,108.3,62.8,',73.3,16.3,18.3
16Са,специальный,160.0,65.0,8.5,10.0,"17,5",10.0,25.15,19.74,934.5,116.8,61.0,',83.4,17.55,18.2
18С,специальный,180.0,68.0,7.0,10.5,"18,8",10.5,25.7,20.2,1272.0,141.0,70.4,',98.5,20.1,19.6
18Са,специальный,180.0,70.0,9.0,10.5,"18,4",10.5,29.3,23.0,1370.0,152.0,68.4,',111.0,21.3,19.5
18Сб,специальный,180.0,100.0,8.0,10.5,"29,9",10.5,34.04,26.72,1791.01,199.0,72.5,',305.48,43.58,30.0
20С,специальный,200.0,73.0,7.0,11.0,"20,2",11.0,28.83,22.63,1780.37,178.04,78.6,',128.04,24.19,21.1
20Са,специальный,200.0,75.0,9.0,11.0,"19,5",11.0,23.83,25.77,1913.71,191.37,76.4,',143.63,25.88,20.9
20Сб,специальный,200.0,100.0,8.0,11.0,"29,3",11.0,36.58,28.71,2360.88,236.09,80.3,',327.23,46.3,29.9
24С,специальный,240.0,85.0,9.5,14.0,"23,5",14.0,44.46,34.9,3841.35,320.11,92.9,',268.89,43.7,24.6
26С,специальный,260.0,65.0,10.0,16.0,"39,1",15.0,44.09,34.61,4088.0,314.5,96.3,',115.6,171.6,50.3
26Са,специальный,260.0,90.0,10.0,15.0,"24,8",15.0,50.6,39.72,5130.83,394.68,100.7,',343.15,52.62,26.0
30С,специальный,300.0,85.0,7.5,13.5,"22,0",13.5,43.88,34.44,6045.43,403.03,117.4,',260.74,41.41,24.4
30Са,специальный,300.0,87.0,9.5,13.5,"21,3",13.5,49.88,39.15,6495.43,433.03,114.1,',288.78,43.93,24.1
30Сб,специальный,300.0,89.0,11.5,13.5,"20,9",13.5,55.88,43.86,6945.43,463.03,111.5,',315.35,46.29,23.8
